Depth 	 PHIT 	 BVO 	 Pd1 	 Pd2 	 	 G1 	 G2 	 BV1 	 BV2 	 Perm
8612.0 	 0.16 	 0.0 	 215.0 	 650 	 	 0.28 	 0.1 	 16.4 	 0 	 0.16
8612.5 	 0.15 	 0.0 	 233.0 	 650 	 	 0.3 	 0.1 	 16.3 	 0 	 0.14
8613.0 	 0.13 	 0.0 	 222.0 	 650 	 	 0.3 	 0.1 	 16.3 	 0 	 0.15
8613.5 	 0.1 	 0.0 	 326.0 	 650 	 	 0.48 	 0.1 	 14.1 	 0 	 0.16
8614.0 	 0.08 	 0.0 	 508.0 	 650 	 	 0.52 	 0.1 	 8.4 	 0 	 0.16
8614.5 	 0.06 	 0.0 	 184.0 	 650 	 	 3.94 	 0.1 	 18.7 	 0 	 0.04
8615.0 	 0.03 	 0.0 	 1188.0 	 650 	 	 1.8 	 0.1 	 14.1 	 0 	 0.16
8615.5 	 0.03 	 0.0 	 1204.0 	 650 	 	 1.83 	 0.1 	 14.3 	 0 	 0.16
8616.0 	 0.01 	 0.0 	 309.0 	 650 	 	 2.88 	 0.1 	 13.3 	 0 	 0.01
8616.5 	 0.01 	 0.0 	 309.0 	 650 	 	 2.88 	 0.1 	 13.3 	 0 	 0.01
8617.0 	 0.01 	 0.0 	 1068.0 	 650 	 	 3.48 	 0.1 	 19.7 	 0 	 0.16
8617.5 	 0.02 	 0.0 	 374.0 	 650 	 	 4.15 	 0.1 	 18.7 	 0 	 0.03
8618.0 	 0.02 	 0.0 	 180.0 	 650 	 	 0.87 	 0.1 	 4.7 	 0 	 0.01
8618.5 	 0.04 	 0.0 	 126.0 	 650 	 	 3.71 	 0.1 	 16.4 	 0 	 0.01
8619.0 	 0.04 	 0.0 	 884.0 	 650 	 	 3.89 	 0.1 	 20.6 	 0 	 0.08
8619.5 	 0.03 	 0.0 	 132.0 	 650 	 	 3.07 	 0.1 	 13.7 	 0 	 0.01
8620.0 	 0.01 	 0.0 	 309.0 	 650 	 	 2.88 	 0.1 	 13.3 	 0 	 0.01
8620.5 	 0.01 	 0.0 	 309.0 	 650 	 	 2.88 	 0.1 	 13.3 	 0 	 0.01
8621.0 	 0.01 	 0.0 	 335.0 	 650 	 	 3.11 	 0.1 	 14.4 	 0 	 0.01
8621.5 	 0.01 	 0.0 	 327.0 	 650 	 	 3.0 	 0.1 	 13.9 	 0 	 0.01
8622.0 	 0.02 	 0.0 	 396.0 	 650 	 	 4.18 	 0.1 	 19.0 	 0 	 0.03
8622.5 	 0.01 	 0.0 	 327.0 	 650 	 	 3.0 	 0.1 	 13.9 	 0 	 0.01
8623.0 	 0.02 	 0.0 	 235.0 	 650 	 	 2.06 	 0.1 	 9.7 	 0 	 0.01
8623.5 	 0.02 	 0.0 	 235.0 	 650 	 	 2.06 	 0.1 	 9.7 	 0 	 0.01
8624.0 	 0.02 	 0.0 	 235.0 	 650 	 	 2.06 	 0.1 	 9.7 	 0 	 0.01
8624.5 	 0.02 	 0.0 	 235.0 	 650 	 	 2.06 	 0.1 	 9.7 	 0 	 0.01
8625.0 	 0.02 	 0.0 	 525.0 	 650 	 	 4.15 	 0.1 	 19.4 	 0 	 0.05
8625.5 	 0.02 	 0.0 	 235.0 	 650 	 	 2.06 	 0.1 	 9.7 	 0 	 0.01
8626.0 	 0.01 	 0.0 	 327.0 	 650 	 	 3.0 	 0.1 	 13.9 	 0 	 0.01
8626.5 	 0.01 	 0.0 	 309.0 	 650 	 	 2.88 	 0.1 	 13.3 	 0 	 0.01
8627.0 	 0.02 	 0.0 	 223.0 	 650 	 	 2.4 	 0.1 	 11.0 	 0 	 0.01
8627.5 	 0.02 	 0.0 	 217.0 	 650 	 	 2.18 	 0.1 	 10.1 	 0 	 0.01
8628.0 	 0.04 	 0.0 	 127.0 	 650 	 	 3.56 	 0.1 	 15.7 	 0 	 0.01
8628.5 	 0.04 	 0.0 	 986.0 	 650 	 	 3.48 	 0.1 	 19.5 	 0 	 0.1
8629.0 	 0.04 	 0.0 	 425.0 	 650 	 	 4.9 	 0.1 	 22.0 	 0 	 0.04
8629.5 	 0.04 	 0.0 	 140.0 	 650 	 	 6.52 	 0.1 	 27.2 	 0 	 0.02
8630.0 	 0.03 	 0.0 	 132.0 	 650 	 	 3.07 	 0.1 	 13.7 	 0 	 0.01
